word,object_type,relation_type,phoneme_nb,lexical_freq,visual_freq,AoA,visual_complexity,familiarity,imageability,concreteness
abeille,2,4,4,3.18,3.53,4.12,4,2.91,4.82291666666667,4.71875
acacia,2,3,6,3.24,0.05,3.68,3.57,4.38,2.4375,3.85416666666667
aigle,2,4,3,7.91,5.5,5.35,2.91,1.91,4.625,4.61458333333333
aiguille,1,3,5,18.38,10.4,7,1.3,2.26,4.85416666666667,4.76041666666667
ampoule,1,1,4,11.49,4.8,5.44,2.3,4.65,4.85416666666667,4.77083333333333
ananas,2,1,5,3.51,2.02,4.82,3.09,3.06,4.9375,4.92708333333333
arrosoir,1,3,7,3.04,0.37,5.32,3.04,2.59,4.86458333333333,4.85416666666667
assiette,1,4,5,36.28,14.88,2.88,1.22,4.76,4.94791666666667,5
baleine,2,4,5,3.11,11.52,5.18,3.26,1.88,4.8125,4.5625
balledetennis,1,4,4,28.985,44.345,4.21,1.26,4.47,4.85416666666667,4.79166666666667
ballondebaudruche,1,1,5,8.985,13.775,2.53,1.09,2.76,4.15625,4.54166666666667
ballondefoot,1,3,3.5,11.35,25.725,3.06,1.48,3.35,4.91666666666667,4.9375
bambou,2,3,4,3.78,1.32,8.82,3.39,2.29,4.5625,4.54166666666667
banane,2,4,5,4.05,6.09,3.06,1.22,4.32,4.98958333333333,4.95833333333333
barquette,1,3,6,0.14,0.15,6.41,2.52,3.32,3.70833333333333,4.20833333333333
basket,1,4,6,0.88,10.91,3.24,2.61,4.71,4.76041666666667,4.75
bateau,1,3,4,61.22,106.55,4.94,4.52,2.09,4.84375,4.67708333333333
bavoir,1,3,6,0.41,0.22,4.03,1.22,2.53,4.54166666666667,4.73958333333333
berlingot,1,2,7,0.41,0.06,8.25,1.68,1.95,3.89583333333333,4.375
biberon,1,4,6,3.85,5.25,2.88,1.7,2.29,4.84375,4.8125
ble,2,4,3,23.24,19.07,6.24,2.04,2.65,4.625,4.57291666666667
bobinedefil,1,4,5,2.91,1.69,6.76,2.3,2.47,4.22916666666667,4.48958333333333
bol,1,2,3,20.07,16.93,3.76,1.35,4.53,4.85416666666667,4.96875
botte,1,2,3,8.51,6.38,3.68,1.48,2.71,4.79166666666667,4.72916666666667
bouteille,1,4,5,70.41,42.31,5.62,1.13,3.65,4.92708333333333,4.92708333333333
briquet,1,1,5,12.3,9.98,7.47,1.96,3.24,4.77083333333333,4.79166666666667
brosseadent,1,4,3,65.27,34.115,3.59,1.65,4.85,4.97916666666667,5
caddie,1,4,4,1.28,1.35,5.35,3.57,3.94,4.83333333333333,4.90625
cadenas,1,4,6,2.43,2.1,7.47,2.04,5.03,4.73958333333333,4.71875
caisseenregistreuse,1,3,6.5,25.875,14.85,7.71,4.43,3.09,4.14583333333333,4.53125
canapé,1,4,6,17.97,17.66,7.12,2.14,4.47,4.88541666666667,4.92708333333333
canard,2,1,5,16.15,15.46,3.24,3.39,2.88,4.88541666666667,4.78125
canette,1,2,5,3.18,1.1,5.88,1.91,3.94,4.88541666666667,4.85416666666667
carotte,2,1,5,2.97,2.45,3.32,1.43,4.44,4.97916666666667,4.89583333333333
carton,1,3,5,34.8,10.92,4.38,1.26,3.74,4.73958333333333,4.76041666666667
casquette,1,1,6,34.39,8.64,3.76,1.7,3.12,4.88541666666667,4.88541666666667
ceinture,1,3,5,32.23,19.41,5.35,2.04,3.94,4.91666666666667,4.85416666666667
cerise,2,1,5,3.31,2.75,4.21,1.48,3.03,4.98958333333333,4.89583333333333
chaise,1,1,3,86.35,32.7,6.88,2.56,4.8,4.94791666666667,4.94791666666667
chameau,2,2,4,5.41,7.21,6.53,3.57,1.79,4.48958333333333,4.58333333333333
chargeur,1,4,6,2.77,3.68,8.38,3.39,4.79,4.76041666666667,4.85416666666667
chat,2,1,2,59.26,57.71,2.53,2.78,4.24,4.96875,4.88541666666667
cheval,2,4,5,110.27,85.42,2.79,3,3,4.94791666666667,4.84375
chien,2,4,3,117.64,158.77,2.44,2.48,4.06,4.97916666666667,4.94791666666667
chimpanze,2,3,6,1.15,1.96,3.76,3.43,2.5,4.5,4.59375
choufleur,2,1,6,1.01,0.54,5.59,2.87,3.65,4.78125,4.84375
ciseaux,1,2,4,11.01,7.86,3.85,1.96,4.29,4.9375,4.92708333333333
citron,2,1,5,9.05,8.1,3.59,1.48,3.76,4.96875,4.97916666666667
cle,1,3,3,35,68.73,3.68,1.83,4.88,4.92708333333333,4.9375
clou,1,3,3,10.2,7.79,6.15,1.22,3,4.80208333333333,4.76041666666667
coccinelle,2,4,8,1.35,1.15,4.21,2.83,2.82,4.90625,4.79166666666667
cochon,2,1,4,12.7,21.67,2.97,2.7,3.09,4.90625,4.77083333333333
cochondinde,2,2,6,0.68,2.18,5.76,2.96,2.29,4.44791666666667,4.63541666666667
collier,1,1,5,14.8,17.79,5.18,2.48,3.18,4.82291666666667,4.84375
coquillage,2,1,7,3.51,0.77,5.44,2.74,2.26,4.86458333333333,4.77083333333333
cotontige,1,2,7,0,0.2,5.97,1.26,4.26,4.9375,4.97916666666667
coupeongles,1,1,6,0.14,0.26,7.09,2.91,3.71,4.73958333333333,4.91666666666667
cuillere,1,4,6,9.8,5.18,2.53,1.26,4.82,4.91666666666667,5
cutter,1,4,5,0.07,2.36,8.59,3.3,2.76,4.73958333333333,4.72916666666667
dentifrice,1,3,8,1.15,3.84,4.03,2.13,4.79,4.90625,4.97916666666667
elephant,2,2,5,8.92,10.17,6.59,3.51,1.72,4.94791666666667,4.63541666666667
eponge,1,1,4,10.14,6.14,5.41,1.52,4.53,4.82291666666667,4.83333333333333
escarpin,1,2,7,0.54,0.07,5.94,1.91,4.09,4.36458333333333,4.61458333333333
fauteuil,1,2,5,76.69,17.16,6.65,2.74,4.49,4.91666666666667,4.89583333333333
feuilledepapier,1,3,5,144.59,56.32,3.76,1.13,4.56,4.875,4.98958333333333
feuillevegetal,2,3,3,46.35,13.24,3.76,1.52,4.35,4.6875,4.78125
feutre,1,2,4,13.18,1.33,2.71,1.3,3.97,4.39583333333333,4.69791666666667
flamantrose,2,2,4,33.345,9.41,6.21,3.57,2,4.75,4.57291666666667
fouet,1,2,4,4.05,0.6,7.35,2.52,3.91,4.57291666666667,4.65625
fraise,2,4,4,3.92,5.28,3.15,2.09,3.53,4.97916666666667,4.89583333333333
fromage,1,3,6,20.81,25.68,2.97,1.87,4.18,4.86458333333333,4.8125
girafe,2,4,5,1.89,2.71,4.29,3.65,1.88,4.85416666666667,4.63541666666667
grenouille,2,4,6,4.59,5.74,4.29,3.52,2.24,4.90625,4.63541666666667
herbe,2,3,3,86.08,27.64,3.68,2.26,3.76,4.86458333333333,4.83333333333333
héron,2,2,3,1.08,0.27,9.48,3.52,1.61,3.86458333333333,4.33333333333333
iceberg,2,3,7,1.08,1.5,8,3.52,2.06,4.35416666666667,4.14583333333333
jupe,1,2,3,34.05,10.12,4.38,2.39,3.44,4.91666666666667,4.86458333333333
kiwi,2,1,4,0.07,0,6.72,2.46,3.23,4.92708333333333,4.89583333333333
