cible;amorce;cible;amorce;cible;amorce;cible;amorce;cible;amorce;cible;amorce
bouteille;tirebouchon;cheval;selle;bouteille;canette;cheval;poney;bouteille;collier;cheval;ananas
cadenas;cle;souris;fromage;cadenas;loquet;souris;cochondinde;cadenas;medaille;souris;coquillage
cuillere;tasse;banane;chimpanze;cuillere;fouet;banane;peche;cuillere;pincealinge;banane;champignon
pantalon;ceinture;fraise;barquette;pantalon;jupe;fraise;cerise;pantalon;taillecrayon;fraise;ballondebaudruche2
assiette;torchon;girafe;acacia;assiette;bol;girafe;lion;assiette;casquette;girafe;poire
stylo;feuilledepapier;vache;lait;stylo;ciseaux2;vache;cochon;stylo;fourchette;vache;citron
marteau;clou;abeille;ruche;marteau;tournevis;abeille;fourmi;marteau;coupeongles;abeille;requin
piano;partition;baleine;vague;piano;violon;baleine;phoque;piano;appareilphoto;baleine;raisin
pinceau;palette;coccinelle;herbe;pinceau;feutre;coccinelle;chenille;pinceau;pipe;coccinelle;rougealevres
allumette;bougie;rose;arrosoir;allumette;briquet;rose;paquerette;allumette;montre;rose;crabe
basket;ballondefoot;chien;niche;basket;escarpin;chien;chat;basket;lampe;chien;choufleur
brosseadent;dentifrice;orange;presseagrumes;brosseadent;cotontige;orange;pomme;brosseadent;gomme;orange;lapin
tong;lunettesdesoleil;panda;bambou;tong;botte;panda;chameau;tong;ferarepasser;panda;etoiledemer
bobinedefil;aiguille;sauterelle;feuillevegetal;bobinedefil;pelotedelaine;sauterelle;verdeterre;bobinedefil;sucette;sauterelle;dauphin
balledetennis;raquette;aigle;nid;balledetennis;ballondebasket;aigle;perroquet;balledetennis;poele;aigle;radis
biberon;bavoir;pingouin;iceberg;biberon;bouteilledeau;pingouin;canard;biberon;micro;pingouin;oignon
chargeur;prise;mouette;bateau;chargeur;pile;mouette;flamantrose;chargeur;eponge;mouette;liquidevaisselle
caddie;caisseenregistreuse;ble;moulin;caddie;panier;ble;mais;caddie;sechecheveux;ble;ampoule
cutter;carton;grenouille;nenuphar;cutter;scie;grenouille;cameleon;cutter;telecommande;grenouille;carotte
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
